,CLTV,FICO,accountID,age,date,line,name,nr,seg,zip,CLTV_M
19,0.480774964838553,704,0103335819764,298.0,2009-10-31,JR,Michael Anderson,6,PJ,34753,0.480774964838553
20,0.30988346806985523,728,3829764503551,288.0,2011-08-31,SR,Lindsay Andersen,5,PJ,,0.30988346806985523
21,0.30988346806985523,728,3829764503551,288.0,2011-09-30,SR,Lindsay Andersen,5,PJ,37193,0.30988346806985523
22,0.30988346806985523,728,3829764503551,288.0,2011-10-31,SR,Lindsay Andersen,5,PJ,37193,0.30988346806985523
23,0.30988346806985523,728,3829764503551,288.0,2011-11-30,SR,Lindsay Andersen,5,PJ,37193,0.30988346806985523
24,0.30988346806985523,728,3829764503551,288.0,2011-12-31,SR,Lindsay Andersen,5,PJ,37193,0.30988346806985523
25,0.6265277571167928,652,3841198769815,540.0,2011-10-31,SR,Robert Yoder,4,CRA,25889,0.6265277571167928
26,0.6265277571167928,652,3841198769815,540.0,2011-11-30,SR,Robert Yoder,4,CRA,25889,0.6265277571167928
27,0.6265277571167928,652,3841198769815,540.0,2011-12-31,SR,Robert Yoder,4,CRA,25889,
28,0.6265277571167928,652,3841198769815,540.0,2012-01-31,SR,Robert Yoder,4,CRA,25889,
29,0.6265277571167928,652,3841198769815,540.0,2012-02-29,SR,Robert Yoder,4,CRA,25889,0.6265277571167928
30,0.9789122101552828,639,4781140034181,382.0,2009-11-30,JR,Jennifer Henderson,3,CRA,14872,
31,0.9789122101552828,639,4781140034181,382.0,2009-12-31,JR,Jennifer Henderson,3,CRA,14872,0.9789122101552828
32,0.9789122101552828,639,4781140034181,382.0,2010-01-31,JR,Jennifer Henderson,3,CRA,14872,0.9789122101552828
33,0.9789122101552828,639,4781140034181,382.0,2010-02-28,JR,Jennifer Henderson,3,CRA,14872,0.9789122101552828
34,0.9789122101552828,639,4781140034181,382.0,2010-03-31,JR,Jennifer Henderson,3,CRA,14872,0.9789122101552828
35,0.7615234493694775,691,6611549335313,303.0,2009-04-30,SR,Jennifer Chavez,2,CONV,46403,0.7615234493694775
36,0.7615234493694775,691,6611549335313,303.0,2009-05-31,SR,Jennifer Chavez,2,CONV,46403,0.7615234493694775
37,0.7615234493694775,691,6611549335313,303.0,2009-06-30,SR,Jennifer Chavez,2,CONV,46403,0.7615234493694775
38,0.7615234493694775,691,6611549335313,303.0,2009-07-31,SR,Jennifer Chavez,2,CONV,46403,0.7615234493694775
39,0.7615234493694775,691,6611549335313,303.0,2009-08-31,SR,Jennifer Chavez,2,CONV,46403,0.7615234493694775
40,0.7679049609782462,786,0182734938566,456.0,2011-07-31,JR,Sarah Alvarez,1,CRA,59505,0.7679049609782462
41,0.7679049609782462,786,0182734938566,456.0,2011-08-31,JR,Sarah Alvarez,1,CRA,59505,
42,0.7679049609782462,786,0182734938566,456.0,2011-09-30,JR,Sarah Alvarez,1,CRA,59505,0.7679049609782462
43,0.7679049609782462,786,0182734938566,456.0,2011-10-31,JR,Sarah Alvarez,1,CRA,59505,0.7679049609782462
44,0.7679049609782462,786,0182734938566,456.0,2011-11-30,JR,Sarah Alvarez,1,CRA,59505,0.7679049609782462
45,0.14663152258890866,661,1251029074698,260.0,2011-04-30,JR,Matthew Poole,0,CRA,53915,
46,0.14663152258890866,661,1251029074698,260.0,2011-05-31,JR,Matthew Poole,0,CRA,53915,0.14663152258890866
47,0.14663152258890866,661,1251029074698,260.0,2011-06-30,JR,Matthew Poole,0,CRA,53915,0.14663152258890866
48,0.14663152258890866,661,1251029074698,260.0,2011-07-31,JR,Matthew Poole,0,CRA,53915,0.14663152258890866
49,0.14663152258890866,661,1251029074698,260.0,2011-08-31,JR,Matthew Poole,0,CRA,53915,0.14663152258890866
